,Datetime,Temp_℃,Humidity,Windspeed,General_Diffuse_Flows,Diffuse_Flows,Power_Consumption_kWh_Zone1,Power_Consumption_kWh_Zone2,Power_Consumption_kWh_Zone3,Year,Month,Day,Hour
21,2017-01-01 21:00:00,11.748,70.827,0.075,0.058,0.096,38712.911,24836.474,25344.578,2017,January,Sunday,21
22,2017-01-01 22:00:00,12.792,66.207,0.074,0.065,0.117,34972.152,23067.477,22582.169,2017,January,Sunday,22
23,2017-01-01 23:00:00,11.712,72.507,0.075,0.068,0.1,30072.911,20105.775,19578.795,2017,January,Sunday,23
24,2017-01-02 00:00:00,10.667,78.033,0.077,0.066,0.14,25303.291,17007.903,16884.819,2017,January,Monday,0
25,2017-01-02 01:00:00,10.703,78.917,0.076,0.071,0.139,22512.405,14910.638,15079.518,2017,January,Monday,1
26,2017-01-02 02:00:00,11.032,76.75,0.078,0.068,0.148,20945.823,13835.866,14165.783,2017,January,Monday,2
27,2017-01-02 03:00:00,10.568,79.267,0.078,0.069,0.144,20097.215,13466.261,13794.699,2017,January,Monday,3
28,2017-01-02 04:00:00,10.253,81.933,0.076,0.076,0.14,20066.835,13248.632,13604.819,2017,January,Monday,4
29,2017-01-02 05:00:00,9.73,83.55,0.077,0.072,0.149,20838.481,13910.638,14052.048,2017,January,Monday,5
30,2017-01-02 06:00:00,9.337,84.65,0.076,0.056,0.138,23307.342,15348.328,14654.458,2017,January,Monday,6
31,2017-01-02 07:00:00,9.543,84.9,0.077,0.076,0.136,22895.19,15709.422,12863.614,2017,January,Monday,7
32,2017-01-02 08:00:00,8.873,83.917,0.082,10.454,6.917,24368.608,16416.413,11957.59,2017,January,Monday,8
33,2017-01-02 09:00:00,9.488,86.117,0.08,128.585,31.36,24505.316,18190.881,13539.277,2017,January,Monday,9
34,2017-01-02 10:00:00,12.865,74.437,0.077,278.467,41.518,26384.81,19947.112,15385.06,2017,January,Monday,10
35,2017-01-02 11:00:00,15.05,58.008,0.076,402.55,41.353,28224.81,20830.395,16511.807,2017,January,Monday,11
36,2017-01-02 12:00:00,15.168,58.125,0.076,471.083,43.237,29581.772,19950.76,18199.518,2017,January,Monday,12
37,2017-01-02 13:00:00,15.307,59.308,0.076,484.0,44.005,29485.57,19572.036,18946.506,2017,January,Monday,13
38,2017-01-02 14:00:00,15.563,55.987,0.076,444.967,42.288,28611.646,20161.702,18274.699,2017,January,Monday,14
39,2017-01-02 15:00:00,15.475,57.263,0.076,353.017,64.533,28971.139,21335.562,16510.843,2017,January,Monday,15
40,2017-01-02 16:00:00,15.238,60.763,0.076,225.567,225.233,29996.962,20641.337,16346.988,2017,January,Monday,16
41,2017-01-02 17:00:00,14.967,61.642,0.077,86.533,107.673,37022.785,24476.596,22448.193,2017,January,Monday,17
42,2017-01-02 18:00:00,14.207,65.692,0.076,3.621,3.678,41747.848,26987.842,25507.47,2017,January,Monday,18
43,2017-01-02 19:00:00,13.523,69.695,0.076,0.057,0.101,41498.734,26857.751,25545.06,2017,January,Monday,19
44,2017-01-02 20:00:00,13.412,68.645,0.075,0.059,0.098,41096.709,26782.371,25642.41,2017,January,Monday,20
45,2017-01-02 21:00:00,13.125,66.962,0.075,0.058,0.092,39461.266,25874.772,25002.41,2017,January,Monday,21
46,2017-01-02 22:00:00,12.877,68.675,0.075,0.077,0.115,35830.886,23548.936,22839.518,2017,January,Monday,22
47,2017-01-02 23:00:00,12.473,71.717,0.075,0.059,0.123,30112.405,20373.252,19941.205,2017,January,Monday,23
48,2017-01-03 00:00:00,11.84,75.533,0.075,0.075,0.14,25269.873,17369.605,17032.289,2017,January,Tuesday,0
49,2017-01-03 01:00:00,12.132,72.567,0.076,0.06,0.151,22636.962,15217.021,15190.361,2017,January,Tuesday,1
50,2017-01-03 02:00:00,11.788,73.883,0.077,0.068,0.146,21371.139,14075.38,14231.325,2017,January,Tuesday,2
51,2017-01-03 03:00:00,12.207,73.933,0.076,0.072,0.156,20557.975,13662.614,13708.916,2017,January,Tuesday,3
52,2017-01-03 04:00:00,11.443,76.35,0.08,0.07,0.15,20116.456,13627.964,13591.325,2017,January,Tuesday,4
53,2017-01-03 05:00:00,10.845,79.783,0.078,0.064,0.15,21034.937,14033.435,14056.867,2017,January,Tuesday,5
54,2017-01-03 06:00:00,11.097,77.667,0.078,0.079,0.141,24105.316,15663.83,14605.301,2017,January,Tuesday,6
55,2017-01-03 07:00:00,9.67,81.467,0.079,0.063,0.157,24204.557,16228.571,13002.41,2017,January,Tuesday,7
56,2017-01-03 08:00:00,8.572,84.167,0.081,10.179,7.038,25145.316,16824.924,12197.59,2017,January,Tuesday,8
57,2017-01-03 09:00:00,9.218,85.05,0.083,124.617,36.762,28354.43,18807.295,13714.699,2017,January,Tuesday,9
58,2017-01-03 10:00:00,13.418,75.483,0.081,281.517,42.803,31190.886,20346.505,14776.867,2017,January,Tuesday,10
59,2017-01-03 11:00:00,14.903,66.107,0.08,403.467,44.687,33065.316,21312.462,15813.976,2017,January,Tuesday,11
60,2017-01-03 12:00:00,15.253,64.243,0.074,472.8,44.855,33998.987,21768.997,16525.301,2017,January,Tuesday,12
61,2017-01-03 13:00:00,15.443,63.037,0.075,489.25,44.853,33623.291,21546.505,16825.06,2017,January,Tuesday,13
62,2017-01-03 14:00:00,15.422,64.19,0.074,447.35,43.793,32410.127,21604.255,16531.084,2017,January,Tuesday,14
63,2017-01-03 15:00:00,15.408,64.98,0.075,356.033,79.125,32293.671,21406.079,16480.964,2017,January,Tuesday,15
64,2017-01-03 16:00:00,15.19,67.078,0.075,222.0,230.433,32090.127,21168.389,16620.723,2017,January,Tuesday,16
65,2017-01-03 17:00:00,14.775,66.215,0.075,84.523,105.857,37828.861,24688.754,22138.795,2017,January,Tuesday,17
66,2017-01-03 18:00:00,13.658,72.76,0.075,3.862,3.926,42768.608,27244.377,25638.554,2017,January,Tuesday,18
67,2017-01-03 19:00:00,11.267,80.033,0.076,0.064,0.098,42546.835,27134.347,25804.337,2017,January,Tuesday,19
68,2017-01-03 20:00:00,10.1,82.85,0.076,0.073,0.092,42245.063,27093.617,26079.036,2017,January,Tuesday,20
69,2017-01-03 21:00:00,9.32,83.717,0.074,0.059,0.087,40194.43,26292.401,25181.687,2017,January,Tuesday,21
70,2017-01-03 22:00:00,8.938,83.867,0.074,0.06,0.095,35961.519,23825.532,23210.602,2017,January,Tuesday,22
71,2017-01-03 23:00:00,8.492,84.6,0.075,0.06,0.094,30484.051,20431.611,19941.205,2017,January,Tuesday,23
72,2017-01-04 00:00:00,8.523,82.833,0.076,0.054,0.107,26271.392,17599.392,17273.253,2017,January,Wednesday,0
73,2017-01-04 01:00:00,8.223,81.867,0.075,0.064,0.089,23247.595,15102.736,15411.084,2017,January,Wednesday,1
74,2017-01-04 02:00:00,7.955,81.567,0.076,0.07,0.116,22007.089,13888.754,14392.289,2017,January,Wednesday,2
75,2017-01-04 03:00:00,7.715,80.9,0.076,0.06,0.114,21329.62,13419.453,13929.639,2017,January,Wednesday,3
76,2017-01-04 04:00:00,6.592,83.7,0.086,0.063,0.103,20240.0,13294.833,13781.205,2017,January,Wednesday,4
77,2017-01-04 05:00:00,5.986,86.75,0.085,0.068,0.121,21350.886,13946.505,14221.687,2017,January,Wednesday,5
78,2017-01-04 06:00:00,5.491,87.333,0.085,0.053,0.124,24277.468,15483.283,14893.494,2017,January,Wednesday,6
79,2017-01-04 07:00:00,5.436,87.367,0.089,0.067,0.126,24287.595,15868.085,13051.566,2017,January,Wednesday,7
80,2017-01-04 08:00:00,4.97,87.417,0.087,12.006,7.5,25282.025,16550.76,11958.554,2017,January,Wednesday,8
81,2017-01-04 09:00:00,5.24,86.267,0.088,132.2,33.42,28268.354,19106.991,13893.976,2017,January,Wednesday,9
82,2017-01-04 10:00:00,6.76,82.017,0.09,283.75,39.8,30143.797,21150.76,15226.024,2017,January,Wednesday,10
83,2017-01-04 11:00:00,9.36,77.283,0.09,408.3,39.412,32812.152,21882.067,16279.518,2017,January,Wednesday,11
84,2017-01-04 12:00:00,12.807,66.392,0.086,487.567,37.123,34139.747,22043.769,16597.59,2017,January,Wednesday,12
85,2017-01-04 13:00:00,15.695,59.225,0.085,502.017,39.465,33335.696,21852.888,16872.289,2017,January,Wednesday,13
86,2017-01-04 14:00:00,17.49,53.12,0.079,451.617,44.443,32525.57,21582.979,16561.928,2017,January,Wednesday,14
87,2017-01-04 15:00:00,17.275,59.467,0.075,363.133,99.947,32316.962,21574.468,16238.072,2017,January,Wednesday,15
88,2017-01-04 16:00:00,17.363,60.997,0.076,224.667,244.733,31615.19,21005.471,16069.398,2017,January,Wednesday,16
89,2017-01-04 17:00:00,16.555,64.883,0.074,81.028,100.637,37109.873,24446.809,21834.217,2017,January,Wednesday,17
90,2017-01-04 18:00:00,13.7,74.383,0.078,3.903,3.958,43216.203,27463.83,25584.578,2017,January,Wednesday,18
91,2017-01-04 19:00:00,12.93,75.688,0.082,0.072,0.087,42815.19,27265.046,25706.024,2017,January,Wednesday,19
92,2017-01-04 20:00:00,13.488,67.88,0.086,0.065,0.089,42382.785,27198.176,25846.747,2017,January,Wednesday,20
93,2017-01-04 21:00:00,12.157,70.9,0.084,0.059,0.105,40226.835,26196.353,25257.831,2017,January,Wednesday,21
94,2017-01-04 22:00:00,10.633,75.6,0.084,0.073,0.11,36415.19,23878.419,23161.446,2017,January,Wednesday,22
95,2017-01-04 23:00:00,9.883,77.2,0.084,0.068,0.126,30938.734,20648.024,20126.265,2017,January,Wednesday,23
96,2017-01-05 00:00:00,8.998,78.983,0.086,0.062,0.119,25979.747,17604.255,17222.169,2017,January,Thursday,0
97,2017-01-05 01:00:00,8.255,80.133,0.086,0.081,0.12,22892.152,15351.976,15485.301,2017,January,Thursday,1
98,2017-01-05 02:00:00,7.793,80.833,0.085,0.078,0.133,21503.797,13859.574,14428.916,2017,January,Thursday,2
99,2017-01-05 03:00:00,7.545,79.55,0.083,0.07,0.151,21075.443,13456.535,13947.952,2017,January,Thursday,3
100,2017-01-05 04:00:00,7.033,78.683,0.086,0.073,0.126,20864.81,13435.866,13815.904,2017,January,Thursday,4
101,2017-01-05 05:00:00,7.07,76.633,0.084,0.065,0.142,21619.241,14100.304,14255.422,2017,January,Thursday,5
102,2017-01-05 06:00:00,6.904,73.95,0.085,0.066,0.116,23991.899,15520.365,14994.699,2017,January,Thursday,6
103,2017-01-05 07:00:00,6.051,79.9,0.087,0.067,0.131,24311.899,15889.97,12842.41,2017,January,Thursday,7
104,2017-01-05 08:00:00,5.746,82.117,0.086,12.5,7.686,25332.658,16802.432,11999.036,2017,January,Thursday,8
105,2017-01-05 09:00:00,6.192,74.8,0.084,136.533,29.813,28410.127,18827.356,13608.675,2017,January,Thursday,9
106,2017-01-05 10:00:00,8.238,65.66,0.086,287.433,38.325,30741.266,20322.188,14911.807,2017,January,Thursday,10
107,2017-01-05 11:00:00,11.195,61.315,0.085,408.667,44.965,32541.772,21141.033,16002.892,2017,January,Thursday,11
108,2017-01-05 12:00:00,14.717,60.073,0.084,478.667,49.57,33379.241,21782.371,16482.892,2017,January,Thursday,12
109,2017-01-05 13:00:00,16.657,58.472,0.083,488.867,56.675,33581.772,21709.422,17116.145,2017,January,Thursday,13
110,2017-01-05 14:00:00,17.565,56.485,0.084,445.017,63.795,32695.696,21616.413,16943.614,2017,January,Thursday,14
111,2017-01-05 15:00:00,18.218,53.333,0.088,335.35,133.533,31992.911,21481.459,16260.241,2017,January,Thursday,15
112,2017-01-05 16:00:00,17.198,51.955,0.077,189.467,209.983,31713.418,21135.562,16006.747,2017,January,Thursday,16
113,2017-01-05 17:00:00,16.028,57.43,0.076,61.58,72.493,37397.468,24491.793,21768.675,2017,January,Thursday,17
114,2017-01-05 18:00:00,14.163,63.795,0.088,5.065,5.315,43572.658,27285.106,25725.301,2017,January,Thursday,18
115,2017-01-05 19:00:00,12.512,69.787,0.075,0.063,0.104,43395.443,27177.508,25625.06,2017,January,Thursday,19
116,2017-01-05 20:00:00,11.2,75.35,0.079,0.056,0.113,42954.937,27000.608,25720.482,2017,January,Thursday,20
117,2017-01-05 21:00:00,11.447,79.9,0.086,0.056,0.116,40561.013,25939.21,24989.88,2017,January,Thursday,21
118,2017-01-05 22:00:00,10.532,82.117,0.086,0.06,0.122,36883.038,24014.59,23294.458,2017,January,Thursday,22
119,2017-01-05 23:00:00,9.537,83.717,0.085,0.056,0.146,31877.468,20868.693,20491.566,2017,January,Thursday,23
120,2017-01-06 00:00:00,8.873,85.467,0.084,0.06,0.142,27172.658,17880.851,17337.831,2017,January,Friday,0
121,2017-01-06 01:00:00,8.508,86.317,0.086,0.07,0.144,23968.608,15595.137,15429.398,2017,January,Friday,1
122,2017-01-06 02:00:00,8.077,87.2,0.084,0.073,0.148,22291.646,14458.967,14511.807,2017,January,Friday,2
123,2017-01-06 03:00:00,8.33,87.0,0.088,0.059,0.153,21861.266,13959.878,14093.494,2017,January,Friday,3
124,2017-01-06 04:00:00,8.02,88.183,0.087,0.06,0.18,21453.165,13863.83,13935.422,2017,January,Friday,4
125,2017-01-06 05:00:00,8.342,88.55,0.082,0.055,0.15,21987.848,14502.736,14397.108,2017,January,Friday,5
126,2017-01-06 06:00:00,8.677,86.633,0.084,0.065,0.152,23874.43,15910.638,14864.578,2017,January,Friday,6
127,2017-01-06 07:00:00,9.373,82.65,0.084,0.068,0.138,23613.165,16042.553,12639.036,2017,January,Friday,7
128,2017-01-06 08:00:00,8.962,82.617,0.085,11.871,9.491,24894.177,16798.176,11934.458,2017,January,Friday,8
129,2017-01-06 09:00:00,10.068,79.267,0.085,92.367,76.355,28254.177,18829.179,13562.41,2017,January,Friday,9
130,2017-01-06 10:00:00,11.367,74.033,0.084,134.1,132.583,31364.051,20579.939,14845.301,2017,January,Friday,10
131,2017-01-06 11:00:00,12.487,71.572,0.087,214.933,188.217,33263.797,21993.921,15959.518,2017,January,Friday,11
132,2017-01-06 12:00:00,14.395,66.94,0.085,257.65,219.15,32281.519,21716.717,16589.88,2017,January,Friday,12
133,2017-01-06 13:00:00,15.365,64.782,1.548,240.05,223.583,32583.291,21751.368,16673.735,2017,January,Friday,13
134,2017-01-06 14:00:00,15.71,62.372,0.085,253.0,245.0,32166.076,21518.541,16183.133,2017,January,Friday,14
135,2017-01-06 15:00:00,15.478,65.998,0.084,161.917,164.067,31565.57,21631.003,16007.711,2017,January,Friday,15
136,2017-01-06 16:00:00,15.28,67.583,0.082,117.033,118.167,31766.076,21275.988,15804.337,2017,January,Friday,16
137,2017-01-06 17:00:00,14.957,70.257,0.085,41.083,41.472,37334.684,24172.644,21239.518,2017,January,Friday,17
138,2017-01-06 18:00:00,14.133,75.383,0.086,4.03,4.08,42924.557,27182.979,24909.88,2017,January,Friday,18
139,2017-01-06 19:00:00,13.557,75.133,0.086,0.056,0.106,42248.101,26770.821,25290.602,2017,January,Friday,19
140,2017-01-06 20:00:00,13.065,75.567,0.086,0.054,0.127,41920.0,26558.055,25526.747,2017,January,Friday,20
141,2017-01-06 21:00:00,12.518,77.417,0.086,0.054,0.128,40153.924,25858.967,24779.759,2017,January,Friday,21
142,2017-01-06 22:00:00,12.437,77.767,0.086,0.05,0.133,36515.443,23753.191,22814.458,2017,January,Friday,22
143,2017-01-06 23:00:00,12.467,75.5,0.086,0.052,0.14,31635.443,20748.328,20215.904,2017,January,Friday,23
144,2017-01-07 00:00:00,12.213,75.817,0.085,0.057,0.134,27193.924,17795.137,17398.554,2017,January,Saturday,0
145,2017-01-07 01:00:00,11.647,77.883,0.088,0.052,0.136,23961.519,15609.726,15515.181,2017,January,Saturday,1
146,2017-01-07 02:00:00,10.717,81.133,0.088,0.047,0.137,22588.354,14382.979,14618.795,2017,January,Saturday,2
147,2017-01-07 03:00:00,10.477,81.367,0.087,0.059,0.14,21849.114,13868.085,14213.012,2017,January,Saturday,3
148,2017-01-07 04:00:00,9.52,84.15,0.088,0.054,0.149,21502.785,13803.04,14046.265,2017,January,Saturday,4
149,2017-01-07 05:00:00,9.328,83.9,0.087,0.056,0.136,22133.671,14325.228,14735.422,2017,January,Saturday,5
150,2017-01-07 06:00:00,8.71,84.367,0.087,0.059,0.155,23711.392,15237.082,15175.904,2017,January,Saturday,6
151,2017-01-07 07:00:00,8.427,85.25,0.089,0.049,0.148,23095.696,14060.182,12689.157,2017,January,Saturday,7
152,2017-01-07 08:00:00,8.413,84.633,0.09,15.252,13.029,24576.203,15088.146,11748.434,2017,January,Saturday,8
153,2017-01-07 09:00:00,8.643,83.0,0.088,108.19,43.903,29736.709,16733.739,13638.554,2017,January,Saturday,9
154,2017-01-07 10:00:00,10.287,78.833,0.091,270.117,54.195,32463.797,19590.274,15404.337,2017,January,Saturday,10
155,2017-01-07 11:00:00,12.747,72.0,0.091,382.833,67.738,33772.152,21085.106,16535.904,2017,January,Saturday,11
156,2017-01-07 12:00:00,14.575,67.718,0.086,397.867,95.633,34033.418,21545.897,17221.205,2017,January,Saturday,12
157,2017-01-07 13:00:00,14.928,61.947,0.078,255.067,200.217,33486.582,21164.742,17361.928,2017,January,Saturday,13
158,2017-01-07 14:00:00,14.792,63.278,0.076,177.867,168.35,32428.354,20584.195,17477.59,2017,January,Saturday,14
159,2017-01-07 15:00:00,15.155,66.372,0.075,232.933,189.967,31467.342,19925.836,17374.458,2017,January,Saturday,15
160,2017-01-07 16:00:00,15.337,65.358,0.076,214.433,242.5,30612.658,19682.675,17395.663,2017,January,Saturday,16
161,2017-01-07 17:00:00,14.748,67.662,0.074,75.825,90.172,36232.911,23131.915,22381.687,2017,January,Saturday,17
162,2017-01-07 18:00:00,13.702,72.592,0.076,4.865,4.944,41583.797,26057.143,25825.542,2017,January,Saturday,18
163,2017-01-07 19:00:00,11.993,79.133,0.077,0.068,0.094,40846.582,25735.562,25863.133,2017,January,Saturday,19
164,2017-01-07 20:00:00,12.47,78.75,0.077,0.052,0.112,40649.114,25136.778,25529.639,2017,January,Saturday,20
165,2017-01-07 21:00:00,13.07,77.167,0.077,0.047,0.134,39227.342,24534.954,25062.169,2017,January,Saturday,21
166,2017-01-07 22:00:00,13.023,78.317,0.078,0.062,0.134,36025.316,22848.632,23450.602,2017,January,Saturday,22
167,2017-01-07 23:00:00,13.53,78.583,0.082,0.057,0.137,31526.076,20131.307,20999.518,2017,January,Saturday,23
168,2017-01-08 00:00:00,14.273,77.917,0.088,0.045,0.124,26633.924,17421.277,17871.807,2017,January,Sunday,0
169,2017-01-08 01:00:00,14.442,76.617,0.091,0.047,0.137,23640.506,15492.401,16057.831,2017,January,Sunday,1
170,2017-01-08 02:00:00,14.217,74.183,0.089,0.046,0.124,21817.722,14072.34,15021.687,2017,January,Sunday,2
171,2017-01-08 03:00:00,13.99,73.15,0.087,0.047,0.164,20831.392,13240.729,14500.241,2017,January,Sunday,3
172,2017-01-08 04:00:00,13.505,76.133,0.092,0.055,0.135,20688.608,12976.9,14200.482,2017,January,Sunday,4
173,2017-01-08 05:00:00,13.243,72.967,0.093,0.059,0.133,21004.557,13100.304,14571.566,2017,January,Sunday,5
174,2017-01-08 06:00:00,13.255,70.705,0.09,0.047,0.162,22544.81,13799.392,14858.795,2017,January,Sunday,6
175,2017-01-08 07:00:00,13.625,68.613,0.09,0.065,0.14,19838.987,11846.201,11786.024,2017,January,Sunday,7
176,2017-01-08 08:00:00,12.648,69.172,0.088,7.628,6.928,21153.418,12441.945,11157.59,2017,January,Sunday,8
177,2017-01-08 09:00:00,13.747,65.532,0.089,85.445,50.82,25160.506,13120.973,13289.639,2017,January,Sunday,9
178,2017-01-08 10:00:00,14.602,64.75,0.08,152.1,108.233,29874.43,14649.24,15278.072,2017,January,Sunday,10
179,2017-01-08 11:00:00,15.372,61.497,0.078,219.683,147.233,32192.405,16606.079,16610.12,2017,January,Sunday,11
180,2017-01-08 12:00:00,16.005,56.315,0.078,319.4,104.767,32911.392,17156.231,17446.747,2017,January,Sunday,12
181,2017-01-08 13:00:00,16.073,56.767,0.078,251.35,125.483,33280.0,17041.945,17780.241,2017,January,Sunday,13
182,2017-01-08 14:00:00,15.858,58.213,0.077,217.417,105.233,32392.911,16962.918,17607.711,2017,January,Sunday,14
183,2017-01-08 15:00:00,15.727,60.185,0.076,165.967,144.2,31365.063,16544.073,17011.084,2017,January,Sunday,15
184,2017-01-08 16:00:00,15.723,62.775,0.075,145.183,156.2,30446.582,17184.802,16956.145,2017,January,Sunday,16
185,2017-01-08 17:00:00,15.753,66.398,0.075,133.967,155.038,34912.405,20758.055,22001.928,2017,January,Sunday,17
186,2017-01-08 18:00:00,15.26,72.0,0.069,7.103,7.445,40689.62,24046.201,25366.747,2017,January,Sunday,18
187,2017-01-08 19:00:00,15.192,73.533,0.072,0.057,0.09,41525.063,24678.419,25632.771,2017,January,Sunday,19
188,2017-01-08 20:00:00,15.243,74.25,0.074,0.064,0.121,41095.696,24709.422,25479.518,2017,January,Sunday,20
189,2017-01-08 21:00:00,15.283,75.3,0.074,0.078,0.127,39589.873,24181.155,24560.964,2017,January,Sunday,21
190,2017-01-08 22:00:00,15.143,78.333,0.076,0.049,0.135,35763.038,22086.322,22587.952,2017,January,Sunday,22
191,2017-01-08 23:00:00,15.212,73.317,0.075,0.072,0.13,30085.063,19189.666,19818.795,2017,January,Sunday,23
192,2017-01-09 00:00:00,15.078,71.167,0.076,0.06,0.14,25735.696,16267.477,17018.795,2017,January,Monday,0
193,2017-01-09 01:00:00,15.062,69.82,0.075,0.062,0.129,22778.734,14128.267,15346.506,2017,January,Monday,1
194,2017-01-09 02:00:00,14.968,69.188,0.075,0.068,0.152,21659.747,12983.587,14543.614,2017,January,Monday,2
195,2017-01-09 03:00:00,14.952,72.2,0.074,0.059,0.155,20750.38,12562.31,13799.518,2017,January,Monday,3
196,2017-01-09 04:00:00,14.842,71.867,0.073,0.074,0.129,20070.886,12499.696,13774.458,2017,January,Monday,4
197,2017-01-09 05:00:00,14.915,70.212,0.074,0.064,0.153,20166.076,13195.745,14140.723,2017,January,Monday,5
198,2017-01-09 06:00:00,14.905,68.098,0.074,0.063,0.131,22882.025,14854.103,14903.133,2017,January,Monday,6
199,2017-01-09 07:00:00,14.918,66.342,0.075,0.069,0.131,23162.532,14987.842,12957.108,2017,January,Monday,7
200,2017-01-09 08:00:00,14.918,62.273,0.075,6.142,5.972,25051.139,15564.134,11990.361,2017,January,Monday,8
201,2017-01-09 09:00:00,15.308,59.405,0.076,114.605,76.997,27923.038,17493.617,13371.566,2017,January,Monday,9
202,2017-01-09 10:00:00,15.94,58.627,0.076,312.233,110.917,31152.405,19448.632,14657.349,2017,January,Monday,10
203,2017-01-09 11:00:00,16.503,58.477,0.076,393.817,140.233,33616.203,20406.079,15678.072,2017,January,Monday,11
204,2017-01-09 12:00:00,16.78,58.917,0.077,401.483,199.6,33856.203,20920.365,16332.53,2017,January,Monday,12
205,2017-01-09 13:00:00,16.757,61.775,0.075,478.7,131.0,34044.557,21002.432,16657.349,2017,January,Monday,13
206,2017-01-09 14:00:00,16.752,62.583,0.075,346.05,93.767,32716.962,20950.152,16581.205,2017,January,Monday,14
207,2017-01-09 15:00:00,16.438,66.692,0.074,338.367,308.067,32035.443,20906.383,16404.819,2017,January,Monday,15
208,2017-01-09 16:00:00,16.165,69.885,0.073,168.833,173.733,31355.949,20269.909,16275.663,2017,January,Monday,16
209,2017-01-09 17:00:00,15.73,71.233,0.072,86.905,95.227,36961.013,23319.149,21212.53,2017,January,Monday,17
210,2017-01-09 18:00:00,15.405,72.6,0.073,2.462,2.599,43337.722,26731.915,25444.819,2017,January,Monday,18
211,2017-01-09 19:00:00,15.31,73.617,0.074,0.059,0.102,42882.025,26278.419,25440.964,2017,January,Monday,19
212,2017-01-09 20:00:00,15.217,75.817,0.071,0.041,0.154,42337.215,26057.751,25464.096,2017,January,Monday,20
213,2017-01-09 21:00:00,15.085,76.567,0.074,0.066,0.117,40523.544,25289.362,24470.361,2017,January,Monday,21
214,2017-01-09 22:00:00,15.017,76.217,0.072,0.06,0.124,36894.177,22678.419,22206.265,2017,January,Monday,22
215,2017-01-09 23:00:00,14.798,76.4,0.073,0.065,0.128,31072.405,19667.477,19355.181,2017,January,Monday,23
216,2017-01-10 00:00:00,14.505,78.35,0.076,0.046,0.13,26808.101,16711.854,16642.892,2017,January,Tuesday,0
217,2017-01-10 01:00:00,14.463,79.25,0.08,0.044,0.146,24114.43,14508.815,14995.663,2017,January,Tuesday,1
218,2017-01-10 02:00:00,14.645,78.717,0.08,0.041,0.161,22617.722,13427.356,13983.614,2017,January,Tuesday,2
219,2017-01-10 03:00:00,14.528,78.6,0.076,0.061,0.145,22123.544,13184.195,13681.928,2017,January,Tuesday,3
220,2017-01-10 04:00:00,14.37,78.6,0.078,0.047,0.149,21799.494,13147.72,13608.675,2017,January,Tuesday,4
221,2017-01-10 05:00:00,14.297,78.75,0.078,0.05,0.154,22428.354,13683.283,13947.952,2017,January,Tuesday,5
